polish,english,type,level
pasja,passion,rzeczownik,B1
pasować,fit,czasownik,A2
pasować (komuś),suit,czasownik,B1
pasować do siebie,match,czasownik,A1
pasujący,matching,przymiotnik,B2
pasza,feed,rzeczownik,B2
paszport,passport,rzeczownik,A1
patelnia,pan,rzeczownik,B1
patrzeć,look,czasownik,A1
patyk,stick (piece of wood),rzeczownik,B1
paznokieć,nail,rzeczownik,B1
pałac,palace,rzeczownik,A2
państwo,"country, state",rzeczownik,A1
państwowy,"national, state",przymiotnik,A2
październik,October,rzeczownik,A1
pchać,push,czasownik,A2
pchnięcie,push,rzeczownik,B1
pens,penny,rzeczownik,A2
pensja,salary,rzeczownik,A2
peron,platform,rzeczownik,A2
personel,staff,rzeczownik,B1
perspektywa,"perspective, prospect",rzeczownik,B2
pewnie,sure,przysłówek,A2
pewność siebie,confidence,rzeczownik,B2
pewny,"certain, secure, sure",przymiotnik,A2
pewny siebie,confident,przymiotnik,B1
pełny,"complete, full",przymiotnik,A1
pianino,piano,rzeczownik,A1
piasek,sand,rzeczownik,B1
piec,bake,czasownik,B1
pieczątka,stamp,rzeczownik,A2
piekło,hell,rzeczownik,B2
pielęgniarka,nurse,rzeczownik,A1
pielęgniarz,nurse,rzeczownik,A1
pieniądze,money,rzeczownik,A1
pieprz,pepper,rzeczownik,A1
pierwiastek,element,rzeczownik,B1
pierwotnie,originally,przysłówek,B1
pierwotny,original,przymiotnik,A2
pierwszej jakości,prime,przymiotnik,B2
pierwszy,first,określnik / liczebnik,A1
pierwszy (miejsce,first,rzeczownik,A2
pierś,breast,rzeczownik,B2
pierścionek,ring (object),rzeczownik,A2
pies,dog,rzeczownik,A1
pijany,drunk,przymiotnik,B1
pikantny,"hot, spicy",przymiotnik,A1
pilnik,file,rzeczownik,B1
pilnować,guard,czasownik,B1
pilot (samolotu),pilot,rzeczownik,A2
pinezka,pin,rzeczownik,B1
piosenka,"song, tune",rzeczownik,A1
pisanie,writing,rzeczownik,A1
pisarka,writer,rzeczownik,A1
pisarz,writer,rzeczownik,A1
pisać,write,czasownik,A1
pisać na klawiaturze,type,czasownik,B1
pisać wiadomości tekstowe,text,czasownik,A2
pisemny,written,przymiotnik,B1
pismo,"script, writing",rzeczownik,B1
pisownia,spelling,rzeczownik,A1
pistolet,gun,rzeczownik,A2
piwo,beer,rzeczownik,A1
pióro,"feather, pen",rzeczownik,B2
piątek,Friday,rzeczownik,A1
piąty,fifth,liczebnik,A1
pić,drink,czasownik,A1
piękno,beauty,rzeczownik,B1
piękny,beautiful,przymiotnik,A1
pięta,heel,rzeczownik,B2
piętnaście,fifteen,liczebnik,A1
piętro,floor,rzeczownik,A1
piętro (AmE),story,rzeczownik,A1
pięć,five,liczebnik,A1
pięćdziesiąt,fifty,liczebnik,A1
piłka,ball,rzeczownik,A1
piłka nożna,"football, soccer",rzeczownik,A1
plac,square,rzeczownik,A2
placówka,facility,rzeczownik,B2
plakat,poster,rzeczownik,A2
plamka,spot,rzeczownik,B1
plan,plan,rzeczownik,A1
planeta,planet,rzeczownik,A2
planowanie,planning,rzeczownik,B1
planowany,due,przymiotnik,B1
planować,"map, plan, schedule",czasownik,B2
plasterek,slice,rzeczownik,B1
plastik,plastic,rzeczownik,A2
plastikowy,plastic,przymiotnik,A2
plastyczny,plastic,przymiotnik,A2
platforma,platform,rzeczownik,A2
plaża,beach,rzeczownik,A1
plecy,back,rzeczownik,A1
plik,file,rzeczownik,B1
plon,crop,rzeczownik,B2
plus,plus,przyimek,B1
po,"after, following, past",przyimek,A1
po drugie,"second (next after first), secondly",przysłówek,A2
po lewej stronie,left,przysłówek,A1
po pierwsze,firstly,przysłówek,A2
po prostu,simply,przysłówek,B1
po raz pierwszy,first,przysłówek,A1
po tym jak,after,spójnik,A2
pobierać (dane),download,czasownik,A2
pobierać opłatę,charge,czasownik,B1
pobrany plik,download,rzeczownik,A2
pobyt,stay,rzeczownik,A2
pocałunek,kiss,rzeczownik,B1
pochodzenie,"background, origin",rzeczownik,A2
pochwalać,approve,czasownik,B2
pochwała,praise,rzeczownik,B2
pochylać się,lean,czasownik,B2
pocierać,rub,czasownik,B2
pocieszać,comfort,czasownik,B2
pocisk,bullet,rzeczownik,B2
pociąg,"attraction, train",rzeczownik,B1
pociągać,draw,czasownik,A1
pociągnięcie,pull,rzeczownik,B1
poczta,"mail, post",rzeczownik,A2
poczucie,sense,rzeczownik,A2
początek,"beginning, origin, start",rzeczownik,A1
początkowo,"initially, originally",przysłówek,B2
początkowy,"advance, initial",przymiotnik,B2
pod,"below, under",przyimek,A1
pod,under,przysłówek,A1
pod dostatkiem,plenty,zaimek,B1
pod wrażeniem,impressed,przymiotnik,B2
pod ziemią,underground,przysłówek,A2
podanie,application,rzeczownik,B1
podanie (w grze),pass,rzeczownik,B1
podatek,tax,rzeczownik,B1
podatny,subject,przymiotnik,B2
podawać,"give, hand",czasownik,A1
podaż,supply,rzeczownik,B1
podchodzić,approach,czasownik,B2
podczas,during,przyimek,A1
podczas gdy,"whereas, while",spójnik,B2
poddawać ewaluacji,evaluate,czasownik,B2
poddawać się,submit,czasownik,B2
podejrzany,suspect,rzeczownik,B2
podejrzewać,suspect,czasownik,B2
podejście,approach,rzeczownik,B2
podekscytowany,excited,przymiotnik,A1
podgrzewać,heat,czasownik,A2
podium,platform,rzeczownik,A2
podjazd,drive,rzeczownik,A2
podkreślać,"emphasize, highlight, stress",czasownik,B2
podlewać,water,czasownik,B1
podmiot,subject,rzeczownik,A1
podniecenie,excitement,rzeczownik,B1
podnosić,"lift, pick, raise",czasownik,A2
podnosić się,rise,czasownik,A2
podobać się,appeal,czasownik,B2
podobieństwo,similarity,rzeczownik,B1
podobnie,similarly,przysłówek,B1
podobny,similar,przymiotnik,A1
podobny do,like (similar),przyimek,A1
podpisywać,sign,czasownik,A2
podróż,"journey, travel, trip",rzeczownik,A1
podróżnik,traveller,rzeczownik,A2
podróżny,traveller,rzeczownik,A2
podróżować,"tour, travel",czasownik,B1
podstawa,"base, basis",rzeczownik,B1
podstawowy,"basic, core, essential, fundamental, primary",przymiotnik,B1
podstęp,trick,rzeczownik,B1
podsumowanie,summary,rzeczownik,B1
podsumowywać,"sum, summarize",czasownik,B2
podwiezienie,lift,rzeczownik,A2
podwoić,double,czasownik,A2
podwyżka,rise,rzeczownik,B1
podwójnie,double,przysłówek,B1
podwójny,double,przymiotnik,A2
podwórze,yard,rzeczownik,B1
podział,"divide, division",rzeczownik,B2
podziałka,scale,rzeczownik,B2
podziemny,underground,przymiotnik,A2
podziwiać,admire,czasownik,B1
podziękowania,thanks,wykrzyknik / rzeczownik,A1
podłoga,floor,rzeczownik,A1
podłoże,ground,rzeczownik,A2
poeta,poet,rzeczownik,B1
poetka,poet,rzeczownik,B1
poezja,poetry,rzeczownik,B1
pogawędka,chat,rzeczownik,A2
pogląd,"notion, view",rzeczownik,B2
pogoda,weather,rzeczownik,A1
pogodny,cheerful,przymiotnik,B1
pojawiać się,emerge,czasownik,B2
pojawić się,appear,czasownik,A2
pojazd,vehicle,rzeczownik,A2
pojedynczy,single,przymiotnik,A2
pojemnik,container,rzeczownik,B1
pojemność,capacity,rzeczownik,B2
pojmowanie,capture,rzeczownik,B2
pojęcie,"concept, notion",rzeczownik,B2
pokaz,"display, show",rzeczownik,B2
pokazywać,"display, show",czasownik,B2
pokolenie,generation,rzeczownik,B1
pokonać,beat,czasownik,A2
pokonywać,defeat,czasownik,B2
pokrycie,cover,rzeczownik,B1
pokryty,covered,przymiotnik,B1
pokwitowanie,receipt,rzeczownik,B1
pokój,room,rzeczownik,A1
pokój (brak wojny),peace,rzeczownik,A2
pole,field,rzeczownik,A2
polecać,recommend,czasownik,A2
polecenie,"command, instruction, recommendation",rzeczownik,B2
polegać na,rely,czasownik,B2
policja,police,rzeczownik,A1
policjant,policeman,rzeczownik,A1
polisa,policy,rzeczownik,B1
polityczny,political,przymiotnik,B1
polityk,politician,rzeczownik,B1
polityka,policy,rzeczownik,B1
polityka (dziedzina),politics,rzeczownik,B1
polowanie,"hunt, shooting",rzeczownik,B2
polowanie (jako zajęcie),hunting,rzeczownik,B2
polować,hunt,czasownik,B1
pomagać,"aid, assist, help",czasownik,B2
pomarańcza,orange,rzeczownik,A1
pomarańczowy,orange,przymiotnik,A1
pomiar,measurement,rzeczownik,B2
pomidor,tomato,rzeczownik,A1
pomieścić,contain,czasownik,A2
pomimo,despite,przyimek,B1
pomiędzy,"among, between",przyimek,A2
pomiędzy,between,przysłówek,A2
pomoc,"aid, help",rzeczownik,B2
pomocniczy,assistant,przymiotnik,A2
pomocnik,assistant,rzeczownik,A2
pomocny,helpful,przymiotnik,A2
pomylić kogoś,mistake,czasownik,B2
pomysł,idea,rzeczownik,A1
pomyłka,mistake,czasownik,B2
ponad,"beyond, over",przyimek,B2
ponad,over,przysłówek,A1
ponadto,furthermore,przysłówek,B2
ponaglać,urge,czasownik,B2
poniedziałek,Monday,rzeczownik,A1
poniekąd,somewhat,przysłówek,B2
ponieważ,"as, because",spójnik,A2
poniżej,"below, under",przyimek,A1
poniżej,"below, under",przysłówek,A1
pop,pop,rzeczownik / przymiotnik,A2
popełnić,commit,czasownik,B1
popołudnie,afternoon,rzeczownik,A1
poprawa,"better, improvement",rzeczownik,B1
poprawiać,"correct, improve",czasownik,A1
poprawnie,"correctly, right",przysłówek,A2
poprawny,"correct, right",przymiotnik,A1
poprzedni,"former, previous",przymiotnik,B2
poprzednio,previously,przysłówek,B1
poprzez,through,przyimek,A1
populacja,population,rzeczownik,A2
popularność,popularity,rzeczownik,B2
popularny,popular,przymiotnik,A1
popyt,demand,rzeczownik,B2
pora roku,season,rzeczownik,A2
poradnik,guide,rzeczownik,A2
poranek,morning,rzeczownik,A1
porażka,"defeat, failure",rzeczownik,B2
porozumienie,"agreement, deal",rzeczownik,B1
port,port,rzeczownik,B1
portret,portrait,rzeczownik,B1
porzucać,desert,czasownik,B2
porzucić,abandon,czasownik,B2
porządek,order,rzeczownik,A1
porządek dnia,agenda,rzeczownik,B2
porządkować,sort,czasownik,B1
porządny,"decent, neat, tidy",przymiotnik,B2
porównanie,comparison,rzeczownik,B1
porównywać,"compare, contrast",czasownik,A1
poręczny,convenient,przymiotnik,B1
posiadanie,possession,rzeczownik,A2
posiadać,"have, hold, own, possess",czasownik,A1
posiedzenie,session,rzeczownik,B2
posiłek,meal,rzeczownik,A1
postawa,"attitude, stand",rzeczownik,B1
postać,"character, figure",rzeczownik,A2
postrzegać,view,czasownik,B1
postój,"stop, wait",rzeczownik,A1
postęp,"advance, development, progress",rzeczownik,B2
postępować,advance,czasownik,B2
posunięcie,move,rzeczownik,B1
poszczególny,individual,przymiotnik,A2
poszukiwanie,"hunt, search",rzeczownik,B2
posąg,statue,rzeczownik,B1
potem,"afterwards, next, then",przysłówek,B2
potencjalny,potential,przymiotnik,B2
potencjał,potential,rzeczownik,B2
potok,stream,rzeczownik,B2
potrafiący,capable,przymiotnik,B2
potrafić,can (modal),czasownik modalny,A1
potrawa,dish,rzeczownik,A1
potrzeba,need,rzeczownik,A2
potrzebować,"need, require",czasownik,A1
potrząsać,shake,czasownik,A2
potrząśnięcie,shake,rzeczownik,B1
potwierdzać,confirm,czasownik,B1
potykać się,trip,czasownik,B2
potężny,powerful,przymiotnik,B1
poważanie,"regard, respect",rzeczownik,B2
poważać,respect,czasownik,B1
poważnie,seriously,przysłówek,B1
poważny,"serious, severe",przymiotnik,A2
powiat,county,rzeczownik,B2
powiedzieć,"say, tell",czasownik,A1
powierzchnia,surface,rzeczownik,B1
powietrze,air,rzeczownik,A1
powieść,novel,rzeczownik,A2
powinien,should,czasownik modalny,A1
powinna,should,czasownik modalny,A1
powinno się (modalny),ought,czasownik modalny,B1
powitanie,welcome,rzeczownik,A2
powiązany,"associated, related",przymiotnik,B2
powodować,cause,czasownik,A2
powoli,slowly,przysłówek,A2
powolny,slow,przymiotnik,A1
powrót,return,rzeczownik,A1
powstawać,arise,czasownik,B2
powszechnie,"commonly, generally, widely",przysłówek,B2
powszechny,common,przymiotnik,A1
powtarzający się,repeated,przymiotnik,B1
powtarzać,repeat,czasownik,A1
powtarzać (materiał),revise,czasownik,B1
powtórka,"repeat, review",rzeczownik,B1
powyżej,above,przyimek,A1
powyżej,above,przysłówek,A1
powód,"cause, reason",rzeczownik,A2
powódź,flood,rzeczownik,B1
poza,beyond,przyimek,B2
poza,out,przysłówek / przyimek,A1
poza tym,beyond,przysłówek,B2
pozbywać się (w zwrocie get rid of),rid,czasownik,B2
pozdrawiać,greet,czasownik,A2
poziom,"level, pitch",rzeczownik,A2
poziom wysoki,high,rzeczownik,B2
poziomy,level,przymiotnik,B1
poznawać,meet,czasownik,A1
pozorny,apparent,przymiotnik,B2
pozostawać,remain,czasownik,B1
pozostałość,rest (remaining part),rzeczownik,A2
pozować,pose,czasownik,B2
pozwalać,"allow, let, permit",czasownik,A2
pozwolenie,"leave, permission, permit",rzeczownik,B2
pozwolić sobie na,afford,czasownik,B1
pozycja,"item, position, status",rzeczownik,A2
pozytyw,positive,rzeczownik,B2
pozytywny,positive,przymiotnik,A1
połowa,half,rzeczownik,A1
połowiczny,half,określnik / zaimek,A1
położenie,"location, position",rzeczownik,B1
położony,located,przymiotnik,B1
południe (kierunek),south,rzeczownik,A1
południowy,south,przymiotnik,A1
południowy (z regionu),southern,przymiotnik,B1
połączenie,"combination, connection, link",rzeczownik,B2
połączony,"associated, connected",przymiotnik,B2
poślizgnąć się,slip,czasownik,B2
pośpiech,"hurry, rush",rzeczownik,B1
pośredni,indirect,przymiotnik,B1
pożar,fire,rzeczownik,A1
pożegnanie,goodbye,wykrzyknik / rzeczownik,A1
pożyczać (komuś),lend,czasownik,A2
pożyczać (od kogoś),borrow,czasownik,A2
pożyczka,loan,rzeczownik,B2
pożytek,"benefit, good",rzeczownik,A2
praca,"job, labour, work",rzeczownik,A1
praca (naukowa),paper,rzeczownik,A1
pracodawca,employer,rzeczownik,A2
pracować,work,czasownik,A1
pracownia,studio,rzeczownik,B1
pracownik,"employee, worker",rzeczownik,A2
pracownik na szczeblu kierowniczym,executive,rzeczownik,B2
pracujący,working,przymiotnik,A2
pragnienie,"desire, wish",rzeczownik,B2
pragnąć,"desire, wish",czasownik,B2
praktyczny,practical,przymiotnik,B1
praktyka,practice,rzeczownik,A1
pranie,"wash, washing",rzeczownik,A2
prasa,press,rzeczownik,B1
prasować,"iron, press",czasownik,B1
prawa strona,right,rzeczownik,A1
prawda,truth,rzeczownik,B1
prawdopodobnie,probably,przysłówek,A1
prawdopodobny,likely,przymiotnik,A2
prawdziwy,"real, true",przymiotnik,A1
prawidłowo,"correctly, properly",przysłówek,A2
prawie,"about, almost, nearly",przysłówek,A1
prawnik,lawyer,rzeczownik,A2
prawny,legal,przymiotnik,B1
prawo,law,rzeczownik,A2
prawo (np. do czegoś),right,rzeczownik,A1
prawo jazdy,licence,rzeczownik,B2
prawy,right,przymiotnik,A1
prać,wash,czasownik,A1
precyzyjny,exact,przymiotnik,A2
preferować,prefer,czasownik,A1
premiera,"launch, release",rzeczownik,B2
presja,pressure,rzeczownik,B1
prezent,"gift, present",rzeczownik,A2
prezentacja,presentation,rzeczownik,B1
prezentować,present,czasownik,A2
prezes,president,rzeczownik,A2
prezydent,president,rzeczownik,A2
priorytet,priority,rzeczownik,B2
problem,"problem, trouble",rzeczownik,A1
procedura,procedure,rzeczownik,B2
procent,percentage,rzeczownik,B1
procent,per cent,rzeczownik / przymiotnik / przysłówek,A2
proces,"process, trial",rzeczownik,A2
producent,producer,rzeczownik,B1
produkcja,production,rzeczownik,B1
produkować,produce,czasownik,A2
produkt,product,rzeczownik,A1
produkty rolne,produce,rzeczownik,B2
profesja,profession,rzeczownik,B1
profesjonalista,professional,rzeczownik,B2
profesjonalny,professional,przymiotnik,A2
profesor,professor,rzeczownik,A2
profil,profile,rzeczownik,A2
prognoza,prediction,rzeczownik,B1
program,"agenda, program, scheme, show",rzeczownik,B2
program (np. telewizyjny),programme,rzeczownik,A1
programować,program,czasownik,B1
projekt,"design, draft, project",rzeczownik,A1
projekt ustawy,bill,rzeczownik,A1
projektant,designer,rzeczownik,A2
projektantka,designer,rzeczownik,A2
projektować,"design, project",czasownik,A1
promować,promote,czasownik,B1
proponować,"offer, propose, suggest",czasownik,A2
propozycja,"offer, proposal, suggestion",rzeczownik,A2
prosić,"ask, request",czasownik,A1
prosto,straight,przysłówek,A2
prostokątny,square,przymiotnik,A2
prosty,"plain, simple, straight",przymiotnik,B2
proszek,powder,rzeczownik,B1
proszę,please,wykrzyknik,A1
protest,protest,rzeczownik,B1
protestować,protest,czasownik,B1
prowadzenie auta,driving,rzeczownik,A2
prowadzenie się,conduct,rzeczownik,B2
prowadzić,"conduct, guide",czasownik,B2
prowadzić (pojazd),drive,czasownik,A1
prowadzić badania,research,czasownik,A2
prowadzić dochodzenie,investigate,czasownik,B1
prowadzić kampanię,campaign,czasownik,B1
prowadzić wykład,lecture,czasownik,A2
prowizja,commission,rzeczownik,B2
prośba,request,rzeczownik,A2
prośba o informację,enquiry,rzeczownik,B2
prysznic,shower,rzeczownik,A1
prywatność,privacy,rzeczownik,B2
prywatny,"personal, private",przymiotnik,A1
przebój,hit,rzeczownik,A2
przechadzka,walk,rzeczownik,A1
przechodzić,pass,czasownik,A2
przechodzić na emeryturę,retire,czasownik,B1
przechodzić przez,cross,czasownik,A2
przechowywać,store,czasownik,B1
przechylać,tip,czasownik,B1
przeciwieństwo,"contrast, opposite",rzeczownik,B1
przeciwko,against,przyimek,A2
przeciwnik,opponent,rzeczownik,B2
przeciwny,opposed,przymiotnik,B2
przeciwny,opposite,przymiotnik / przysłówek / przyimek,A1
przeciętny,average,przymiotnik,A2
przeczenie,negative,rzeczownik,B2
przeczucie,feeling,rzeczownik,A1
przeczący,negative,przymiotnik,A1
przed,before,przyimek,A1
przed nami,ahead,przysłówek,B1
przedkładać,submit,czasownik,B2
przedmiot,"object, subject",rzeczownik,A1
przedni,"forward, front",przymiotnik,B2
przedsiębiorstwo,firm,rzeczownik,B2
przedsięwzięcie,project,rzeczownik,A1
przedstawiać,"introduce, present, represent",czasownik,A1
przedstawiciel,representative,rzeczownik,B2
przedstawienie,"performance, presentation, show",rzeczownik,B1
przedstawić w zarysie,outline,czasownik,B2
przedział,range,rzeczownik,B1
przedłużać,extend,czasownik,B2
przegląd,review,rzeczownik,A2
przeglądać,scan,czasownik,B1
przegrać,lose,czasownik,A1
przejaśniać się,clear,czasownik,B1
przejażdżka,"drive, ride",rzeczownik,A2
przejście,"passage, transition",rzeczownik,B2
przeklinać,swear,czasownik,B2
przekonanie,belief,rzeczownik,B1
przekonany,convinced,przymiotnik,B2
przekonywać,"convince, persuade",czasownik,B1
przekraczać,cross,czasownik,A2
przekształcać,"convert, transform",czasownik,B2
przekład,translation,rzeczownik,B1
przekładać,translate,czasownik,B1
przelew,transfer,rzeczownik,B2
przelewać,transfer,czasownik,B2
przemiana,transition,rzeczownik,B2
przemierzać,pace,czasownik,B2
przemieszczanie się,movement,rzeczownik,A2
przemoc,violence,rzeczownik,B2
przemysł,industry,rzeczownik,A2
przemysłowy,industrial,przymiotnik,B2
przemówienie,speech,rzeczownik,A2
przeniesienie,transfer,rzeczownik,B2
przenosić,transfer,czasownik,B2
przenośny,mobile,przymiotnik,A2
przepis,regulation,rzeczownik,B2
przepis (kulinarny),recipe,rzeczownik,A2
przepraszam,sorry,przymiotnik / wykrzyknik,A1
przepraszać,apologize,czasownik,B1
przeprowadzać,conduct,czasownik,B2
przeprowadzać się,move,czasownik,A1
przeprowadzać sondaż,survey,czasownik,B2
przeprowadzać wywiad,interview,czasownik,A1
przepustka,pass,rzeczownik,B1
przepływ,flow,rzeczownik,B1
przepływać,flow,czasownik,B1
przerażający,"frightening, scary",przymiotnik,B1
przerwa,"break, gap, stop",rzeczownik,A1
przerywać,"break, interrupt",czasownik,A1
przestawać,stop,czasownik,A1
przestać,quit,czasownik,B1
przestraszony,"afraid, frightened, scared",przymiotnik,A1
przestraszyć,frighten,czasownik,B1
przestrzegać,obey,czasownik,B2
przestrzegać (np. prawa),observe,czasownik,B2
przestrzeń,"room, space",rzeczownik,A1
przestępca,criminal,rzeczownik,A2
przestępczy,criminal,przymiotnik,B1
przestępstwo,"crime, offence",rzeczownik,A2
przesunięcie,shift,rzeczownik,B1
przesuwać,"shift, slide",czasownik,B2
przeszkadzać,"bother, interrupt",czasownik,B1
przeszkoda,barrier,rzeczownik,B2
przeszukiwać,search,czasownik,A2
przeszłość,past,rzeczownik,A1
przeszły,past,przymiotnik,A1
przesłuchanie,hearing,rzeczownik,B2
przetrwać,survive,czasownik,B1
przetwarzać,process,czasownik,B2
przetwarzać wtórnie,recycle,czasownik,A2
przewaga,advantage,rzeczownik,A2
przeważnie,mostly,przysłówek,A2
przewidywanie,prediction,rzeczownik,B1
przewidywać,"predict, project",czasownik,A2
przewodniczyć,chair,czasownik,B2
przewodniczący,chairman,rzeczownik,B2
przewodnik,guide,rzeczownik,A2
przewodzić,head,czasownik,B1
przewozić,carry,czasownik,A1
przewód,"cable, wire",rzeczownik,B2
przez,"across, by, over, through, via",przyimek,A1
przez,through,przysłówek,A1
przez (czas),for,przyimek,A1
przez cały,throughout,przyimek / przysłówek,B1
przez internet,online,przysłówek,A1
przeziębienie,cold,rzeczownik,A1
przeznaczony,intended,przymiotnik,B2
przełączać,switch,czasownik,B1
przełącznik,switch,rzeczownik,B2
prześcieradło,sheet,rzeczownik,A2
przeżywać,experience,czasownik,B1
przeżyć,survive,czasownik,B1
przodujący,leading,przymiotnik,B1
przy,"at, by",przyimek,A1
przybliżony,rough,przymiotnik,B1
przybyć,arrive,czasownik,A1
przychodzić,come,czasownik,A1
przychylność,favour,rzeczownik,B1
przycisk,button,rzeczownik,A2
przyciągać,attract,czasownik,B1
przyczyna,"cause, reason",rzeczownik,A2
przyczyniać się,contribute,czasownik,B2
przydatny,useful,przymiotnik,A1
przygnębiający,depressing,przymiotnik,B2
przygnębiony,depressed,przymiotnik,B2
przygoda,adventure,rzeczownik,A2
przygotowanie,preparation,rzeczownik,B2
przygotowany,prepared,przymiotnik,B1
przygotowywać (się),prepare,czasownik,A1
przyjaciel,friend,rzeczownik,A1
przyjazd,arrival,rzeczownik,B1
przyjazny,friendly,przymiotnik,A1
przyjaźń,friendship,rzeczownik,B1
przyjechać,arrive,czasownik,A1
przyjemność,pleasure,rzeczownik,B1
przyjemny,pleasant,przymiotnik,B1
przyjeżdżać,come,czasownik,A1
przyjąć,adopt,czasownik,B2
przyjęcie,"party, reception",rzeczownik,A1
przyklejać,stick (push into/attach),czasownik,B1
przykro mi,sorry,przymiotnik / wykrzyknik,A1
przykrywać,cover,czasownik,A2
przykład,"example, instance",rzeczownik,A1
przylot,arrival,rzeczownik,B1
przynosić,bring,czasownik,A1
przypadek,case,rzeczownik,A2
przypinać,pin,czasownik,B1
przypominać (komuś o czymś),remind,czasownik,B1
przypominać sobie,"recall, remember",czasownik,B2
przypuszczać,"assume, guess, suppose",czasownik,B2
przyroda,nature,rzeczownik,A2
przyrost,"gain, increase",rzeczownik,B2
przyrząd,"device, instrument",rzeczownik,A2
przysięgać,swear,czasownik,B2
przystanek,stop,rzeczownik,A1
przystępny (o cenie),reasonable,przymiotnik,B2
przyswoić,acquire,czasownik,B2
przyszłość,future,rzeczownik,A1
przyszły,future,przymiotnik,A2
przysługa,favour,rzeczownik,B1
przytaczać,cite,czasownik,B2
przywiązywać,tie,czasownik,A2
przywódca,leader,rzeczownik,A2
przywództwo,leadership,rzeczownik,B2
przywóz,import,rzeczownik,B1
przyznawać,grant,czasownik,B2
przyznać,"acknowledge, admit",czasownik,B2
przyznać (nagrodę),award,czasownik,B1
przyzwoity,decent,przymiotnik,B2
przód,front,rzeczownik,A1
próba,"attempt, go, trial, try",rzeczownik,B2
próba badawcza,trial,rzeczownik,B2
próbka,sample,rzeczownik,B1
próbować,"attempt, sample, taste, try",czasownik,B2
prąd,"current, electricity",rzeczownik,B2
prędkość,speed,rzeczownik,A2
psuć,"break, upset",czasownik,A1
psycholog,psychologist,rzeczownik,B2
psychologia,psychology,rzeczownik,B2
pszczoła,bee,rzeczownik,B1
ptak,bird,rzeczownik,A1
pub,pub,rzeczownik,A2
publiczność,"audience, public",rzeczownik,A2
publiczny,public,przymiotnik,A2
publikacja,publication,rzeczownik,B2
publikować,publish,czasownik,A2
puchar,cup,rzeczownik,A1
puder,powder,rzeczownik,B1
pudełko,box,rzeczownik,A1
pukanie,knock,rzeczownik,B1
pukać,knock,czasownik,A2
pula,pool,rzeczownik,A1
punkt,"clause, point",rzeczownik,B1
punkt widzenia,perspective,rzeczownik,B2
puste miejsce,blank,rzeczownik,A2
pusty,"blank, empty",przymiotnik,A2
pusty w środku,hollow,przymiotnik,B2
pustynia,desert,rzeczownik,A2
puszka,"can (container), tin",rzeczownik,A2
pyszny,delicious,przymiotnik,A1
pytanie,question,rzeczownik,A1
pytać,"ask, question",czasownik,A1
pył,dust,rzeczownik,B1
pół,half,określnik / zaimek,A1
półka,shelf,rzeczownik,B1
północ (godzina),midnight,rzeczownik,A1
północ (kierunek),north,rzeczownik,A1
północny,north,przymiotnik,A1
północny (region),northern,przymiotnik,B1
później,"after, afterwards, later",przysłówek,A2
późniejszy,later,przymiotnik,A2
późno,late,przysłówek,A1
późny,late,przymiotnik,A1
pęcherzyk,bubble,rzeczownik,B1
pędzel,brush,rzeczownik,A2
pędzić,"rush, speed",czasownik,B2
pęk,bunch,rzeczownik,B2
pęknięcie,split,rzeczownik,B2
płaca,"pay, wage",rzeczownik,A2
płacić,pay,czasownik,A1
płacz,cry,rzeczownik,B2
płakać,cry,czasownik,A2
płaski,"flat, level",przymiotnik,A2
płaszcz,coat,rzeczownik,A1
płatność,payment,rzeczownik,B1
płciowy,sexual,przymiotnik,B1
płeć,sex,rzeczownik,B1
płomień,flame,rzeczownik,B2
płonąć,burn,czasownik,A2
płot,fence,rzeczownik,B1
płuco,lung,rzeczownik,B2
płyn,liquid,rzeczownik,B1
płynny,"liquid, smooth",przymiotnik,B1
płynąć,"flow, sail",czasownik,B1
płyta,"disc, panel, plate, record",rzeczownik,B2
płyta CD,CD,rzeczownik,A1
płyta DVD,DVD,rzeczownik,A1
płytki,shallow,przymiotnik,B2
pływanie,swim,rzeczownik,B1
pływanie (jako czynność),swimming,rzeczownik,A1
pływać,swim,czasownik,A1
rabat,discount,rzeczownik,B1
rachunek,"account, bill, count",rzeczownik,B1
raczej,rather,przysłówek,A2
rada,"advice, council",rzeczownik,A1
radio,radio,rzeczownik,A1
radosny,"cheerful, happy",przymiotnik,B1
radość,"delight, joy",rzeczownik,B2
radzić,advise,czasownik,B1
radzić sobie,"deal, manage",czasownik,A2
raj,heaven,rzeczownik,B2
rak,cancer,rzeczownik,B2
rama,frame,rzeczownik,B1
ramię,"arm, shoulder",rzeczownik,A1
ramka,frame,rzeczownik,B1
rana,wound,rzeczownik,B2
rana cięta,cut,rzeczownik,B1
randka,date,rzeczownik,A1
ranga,rank,rzeczownik,B2
ranić,"hurt, injure, wound",czasownik,A2
ranny,"hurt, injured",przymiotnik,A2
rano,morning,rzeczownik,A1
raport,report,rzeczownik,A1
raportować,report,czasownik,A2
rasa,race (people),rzeczownik,B1
ratować,"rescue, save",czasownik,B2
ratunek,rescue,rzeczownik,B2
raz,once,przysłówek,A1
raz,time,rzeczownik,A1
razem,together,przysłówek,A1
rdzeń,core,rzeczownik,B2
reagować,"react, respond",czasownik,A2
reakcja,"reaction, response",rzeczownik,B1
realistyczny,realistic,przymiotnik,B2
realizować,realize,czasownik,A2
recenzja,review,rzeczownik,A2
recenzować,review,czasownik,A2
recepcja,reception,rzeczownik,A2
